Player,Team,Year,WARP,Age,DRA,GS,IPGS,ERA,RA9,FIP,WHIP,K,BB,KBB,Whiff,Swing,OSwing,ZSwing,OContact,ZContact,Contact,Zone,CSProb,Strike,Ball,FStrike,CStr,FAWhiff,CUWhiff,SLWhiff,CHWhiff,QO,Length,Total,AAV
Taijuan Walker,NYM,2022,1.8,29,4.19,29,5.42,3.49,3.6,3.7,1.19,20.3,6.9,13.4,23.5,47.1,34.3,66.6,64.3,85.9,76.5,39.7,0.53,45.3,36.1,62.7,16.7,17.7,27.3,24.4,28.9,0.0,4.0,72000000.0,18000000.0
Kyle Gibson,PHI,2022,1.8,34,4.26,31,5.41,5.05,5.26,4.33,1.34,20.1,6.7,13.4,25.1,48.2,34.5,69.4,58.5,87.4,74.9,39.3,0.52,44.9,36.2,58.9,15.3,18.5,32.4,29.1,27.7,0.0,1.0,10000000.0,10000000.0
Jameson Taillon,NYY,2022,1.7,30,4.35,32,5.54,3.91,3.96,3.89,1.13,20.7,4.4,16.3,23.1,48.9,34.3,71.4,63.2,87.1,76.9,39.4,0.53,46.4,34.4,63.0,16.5,20.1,31.4,25.7,18.5,0.0,4.0,68000000.0,17000000.0
Tyler Anderson,LAD,2022,1.5,32,4.45,28,6.38,2.57,2.87,3.36,1.0,19.5,4.8,14.7,24.4,52.4,38.7,70.8,62.8,85.1,75.6,42.5,0.56,48.5,31.1,66.1,16.2,17.4,50.0,18.3,37.1,1.0,3.0,39000000.0,13000000.0
Andrew Heaney,LAD,2022,1.4,31,3.53,14,5.19,3.1,4.21,3.8,1.09,35.5,6.1,29.4,36.1,50.7,39.2,67.7,47.6,78.0,63.9,40.3,0.51,52.8,33.2,67.7,15.7,30.7,0.0,44.7,36.7,0.0,2.0,25000000.0,12500000.0
Martin Perez,TEX,2022,1.3,31,4.63,32,6.13,2.89,3.21,3.21,1.26,20.6,8.4,12.2,21.1,44.4,31.1,67.2,70.9,85.3,78.9,36.6,0.48,44.0,36.7,62.2,18.8,12.6,19.4,17.5,33.6,1.0,1.0,19650000.0,19650000.0
Adam Wainwright,STL,2022,1.1,40,4.71,32,5.99,3.71,3.76,3.72,1.28,17.8,6.7,11.1,16.9,43.4,29.2,62.9,71.8,90.5,83.1,42.0,0.57,45.5,35.4,62.6,21.2,10.1,22.1,17.9,19.2,0.0,1.0,17500000.0,17500000.0
Michael Wacha,BOS,2022,1.1,30,4.47,23,5.53,3.32,3.46,4.09,1.12,20.2,6.0,14.2,20.7,50.5,33.6,73.5,67.5,86.6,79.3,42.3,0.55,46.3,34.4,60.8,15.1,11.9,21.9,14.9,34.9,0.0,4.0,26000000.0,6500000.0
Michael Lorenzen,LAA,2022,1.0,30,4.34,18,5.43,4.24,4.42,4.26,1.28,20.7,10.7,10.0,25.3,47.3,33.4,70.4,62.0,84.7,74.7,37.6,0.52,45.0,38.2,62.3,14.2,17.9,20.0,26.0,38.0,0.0,1.0,8500000.0,8500000.0
Zach Eflin,PHI,2022,0.9,28,4.14,13,5.82,4.04,4.52,3.62,1.12,20.8,4.8,16.0,22.2,47.6,34.8,66.2,65.2,87.5,77.8,40.6,0.52,46.3,34.6,67.1,17.7,16.9,43.5,19.0,10.3,0.0,3.0,39999999.0,13333333.0
Sean Manaea,SD,2022,0.7,30,4.81,28,5.64,4.96,5.41,4.59,1.3,23.2,7.5,15.8,25.6,51.2,32.4,72.8,59.8,81.9,74.4,46.5,0.57,48.1,33.2,63.8,15.4,23.1,0.0,29.5,29.0,0.0,2.0,25000000.0,12500000.0
Jose Quintana,2TM,2022,0.7,33,4.83,32,5.18,2.93,3.31,3.05,1.21,20.2,6.9,13.3,23.9,47.7,36.5,69.0,64.3,87.8,76.1,34.6,0.5,44.6,37.4,61.6,14.7,19.2,31.8,0.0,27.2,0.0,2.0,26000000.0,13000000.0
Johnny Cueto,CWS,2022,0.6,36,4.86,24,6.6,3.35,3.75,3.74,1.23,15.7,5.1,10.6,17.6,49.7,34.9,71.4,74.2,88.2,82.4,40.6,0.52,43.9,34.6,66.7,15.6,17.1,14.3,15.2,22.7,0.0,1.0,8500000.0,8500000.0
Noah Syndergaard,2TM,2022,0.6,29,4.81,24,5.61,3.94,4.14,3.82,1.25,16.8,5.5,11.3,20.2,49.6,33.8,69.6,68.9,86.5,79.8,44.1,0.56,45.6,33.0,65.3,17.2,13.5,38.0,22.4,26.4,0.0,1.0,13000000.0,13000000.0
Zach Davies,AZ,2022,0.3,29,4.96,27,4.97,4.09,4.42,4.89,1.3,17.9,9.1,8.8,21.5,42.0,27.8,67.5,70.1,84.7,78.5,35.9,0.52,42.4,39.6,55.8,18.2,12.2,17.4,15.5,32.3,0.0,1.0,5000000.0,5000000.0
Drew Smyly,CHC,2022,0.1,33,5.12,22,4.83,3.47,3.89,4.29,1.19,20.4,5.8,14.5,25.4,51.9,36.5,72.8,61.6,83.5,74.6,42.5,0.58,48.8,33.0,64.4,15.0,21.7,32.7,14.7,50.0,0.0,2.0,19000000.0,9500000.0
Mike Clevinger,SD,2022,0.0,31,5.17,22,5.2,4.33,4.41,5.03,1.2,18.8,7.2,11.5,24.4,48.2,32.3,68.9,63.7,83.0,75.6,43.3,0.56,45.7,36.2,60.4,15.6,19.9,14.3,29.7,32.9,0.0,1.0,12000000.0,12000000.0
Jose Urena,2TM,2022,-0.1,30,5.28,17,5.71,5.01,5.75,4.7,1.57,14.6,10.0,4.6,19.7,46.4,34.7,68.8,72.3,88.1,80.3,34.5,0.49,40.9,39.0,58.3,14.2,15.1,0.0,29.9,23.3,0.0,1.0,3500000.0,3500000.0
Wade Miley,CHC,2022,-0.1,35,5.45,8,4.63,3.16,4.86,4.01,1.22,17.6,8.8,8.8,25.3,44.7,33.0,64.0,62.1,85.4,74.7,37.8,0.5,42.9,36.7,65.4,18.2,18.9,0.0,18.7,37.8,0.0,1.0,4500000.0,4500000.0
Zack Greinke,KC,2022,-0.1,38,5.26,26,5.27,3.68,4.27,3.98,1.34,12.5,4.6,7.9,17.4,46.0,33.4,65.3,75.3,88.3,82.6,39.6,0.54,42.6,36.1,64.8,17.7,15.9,16.5,21.2,16.8,0.0,1.0,8500000.0,8500000.0
Rich Hill,BOS,2022,-0.4,42,5.42,26,4.78,4.27,4.85,3.86,1.3,20.7,7.0,13.7,22.0,47.3,32.8,64.8,64.8,86.1,78.0,45.2,0.57,48.7,32.4,63.3,20.2,24.0,17.0,27.9,0.0,0.0,1.0,8000000.0,8000000.0
Jordan Lyles,BAL,2022,-0.4,31,5.38,32,5.59,4.42,4.73,4.34,1.39,18.6,6.7,11.9,21.8,46.1,31.8,67.5,65.2,87.3,78.2,40.1,0.55,44.3,36.6,61.4,17.1,17.5,24.8,28.1,24.4,0.0,2.0,17000000.0,8500000.0
Charlie Morton,ATL,2021,4.6,37,3.3,33,5.63,3.34,3.73,3.1,1.04,28.6,7.7,20.9,29.1,45.7,31.9,64.9,52.9,83.2,70.9,41.8,0.54,49.1,35.4,58.2,18.6,20.5,40.2,24.8,41.3,0.0,1.0,20000000.0,20000000.0
Max Scherzer,2TM,2021,4.2,36,3.42,30,5.98,2.46,2.66,2.9,0.86,34.1,5.2,28.9,34.3,50.3,34.7,71.8,48.9,76.7,65.7,42.2,0.53,51.7,33.7,63.9,15.7,30.6,34.8,42.1,29.0,0.0,3.0,129999999.0,43333333.0
Kevin Gausman,SF,2021,4.2,30,3.57,33,5.82,2.81,3.09,2.93,1.04,29.3,6.5,22.8,31.4,52.1,36.8,72.3,51.9,79.7,68.6,43.2,0.58,51.7,31.9,63.6,15.8,19.6,0.0,43.5,45.5,0.0,5.0,110000000.0,22000000.0
Marcus Stroman,NYM,2021,3.4,30,3.8,33,5.42,3.02,3.52,3.4,1.14,21.7,5.9,15.8,26.8,48.4,35.2,67.7,57.9,84.8,73.2,40.5,0.55,46.4,34.6,62.0,16.8,17.7,50.0,32.5,34.2,0.0,3.0,71000001.0,23666667.0
Clayton Kershaw,LAD,2021,3.3,33,3.11,22,5.53,3.55,3.77,2.92,1.02,29.5,4.3,25.2,34.8,50.4,37.5,70.0,44.0,82.3,65.2,39.9,0.57,49.1,33.2,62.7,16.1,17.1,33.0,44.1,0.0,0.0,1.0,17000000.0,17000000.0
Carlos Rodon,CHW,2021,3.2,28,3.34,24,5.53,2.37,2.65,2.7,0.96,34.6,6.7,27.9,33.2,50.5,35.6,71.9,52.9,76.7,66.8,40.9,0.54,52.2,34.1,58.6,15.4,29.7,50.0,40.7,36.0,0.0,2.0,44000000.0,22000000.0
Robbie Ray,TOR,2021,3.2,29,4.06,32,6.04,2.84,2.89,3.74,1.04,32.1,6.7,25.4,32.4,51.8,35.7,73.7,50.0,79.2,67.6,42.4,0.55,51.1,34.0,61.6,14.1,24.0,51.4,45.9,27.8,1.0,5.0,115000000.0,23000000.0
Adam Wainwright,STL,2021,3.1,39,4.17,32,6.45,3.05,3.14,3.59,1.06,21.0,6.0,15.0,19.9,43.4,30.6,60.6,66.5,89.4,80.1,42.4,0.56,46.1,34.5,64.3,21.6,11.1,27.3,20.6,17.5,0.0,1.0,17500000.0,17500000.0
Anthony DeSclafani,SF,2021,3.0,31,3.89,31,5.41,3.17,3.27,3.54,1.09,22.5,6.2,16.3,24.1,48.7,32.5,69.3,60.2,85.3,75.9,43.9,0.56,46.7,34.6,67.0,16.5,19.7,23.5,32.3,14.1,0.0,3.0,36000000.0,12000000.0
Eduardo Rodriguez,BOS,2021,3.0,28,3.81,31,5.09,4.74,4.97,3.37,1.39,27.4,7.0,20.4,26.4,48.5,34.6,69.3,62.8,81.6,73.6,40.1,0.52,49.0,34.8,63.6,16.5,27.6,0.0,20.1,29.2,1.0,5.0,77000000.0,15400000.0
Lance Lynn,CHW,2021,2.8,34,3.92,28,5.61,2.69,2.98,3.37,1.07,27.5,7.0,20.4,26.7,50.1,32.4,73.5,60.3,80.9,73.3,43.1,0.52,47.8,36.1,56.3,13.6,27.0,25.0,25.7,32.4,0.0,2.0,38000000.0,19000000.0
Alex Wood,SF,2021,2.6,30,3.84,26,5.33,3.83,4.09,3.41,1.18,26.0,6.7,19.3,27.6,46.9,34.3,63.5,57.9,82.7,72.4,43.1,0.54,50.1,32.7,64.6,19.8,20.8,0.0,40.3,19.9,0.0,2.0,25000000.0,12500000.0
Jon Gray,COL,2021,2.3,29,4.15,29,5.14,4.59,5.01,4.15,1.33,24.4,9.0,15.4,26.9,45.0,27.6,67.9,52.9,84.0,73.1,43.1,0.57,46.5,36.9,64.3,17.7,17.4,30.0,38.9,18.8,0.0,4.0,56000000.0,14000000.0
Steven Matz,TOR,2021,2.1,30,4.24,29,5.2,3.82,4.18,3.84,1.33,22.3,6.6,15.6,22.2,46.8,30.3,67.0,66.4,84.0,77.8,45.0,0.57,47.5,34.8,59.2,18.3,18.8,30.8,21.3,24.6,0.0,4.0,44000000.0,11000000.0
Yusei Kikuchi,SEA,2021,1.7,30,4.62,29,5.41,4.41,4.7,4.66,1.32,24.5,9.3,15.2,27.9,48.2,33.7,67.5,57.2,82.0,72.1,43.1,0.57,47.8,35.1,62.8,16.4,30.6,0.0,23.9,39.9,0.0,3.0,36000000.0,12000000.0
Alex Cobb,LAA,2021,1.6,33,3.96,18,5.18,3.76,4.44,2.97,1.26,24.9,8.4,16.5,26.6,44.5,35.9,60.0,62.4,85.3,73.4,35.8,0.5,47.1,36.5,61.3,18.7,14.0,29.5,0.0,35.5,0.0,2.0,20000000.0,10000000.0
Zack Greinke,HOU,2021,1.3,37,4.81,29,5.9,4.16,4.32,4.76,1.17,17.2,5.2,12.1,21.7,45.9,33.1,67.7,64.4,89.9,78.3,36.8,0.53,42.6,36.4,66.0,17.6,12.1,25.5,31.3,27.9,0.0,1.0,13000000.0,13000000.0
Michael Wacha,TB,2021,0.9,29,4.8,23,5.42,5.05,5.27,4.52,1.31,22.9,5.9,17.0,23.1,53.5,38.2,74.8,64.9,85.4,76.9,41.8,0.58,48.7,32.4,68.8,13.9,17.8,44.8,15.0,34.1,0.0,1.0,7000000.0,7000000.0
Drew Smyly,ATL,2021,0.7,32,5.04,23,5.51,4.48,4.9,5.04,1.37,21.4,7.5,13.9,25.1,49.3,33.7,71.6,56.9,87.0,74.9,41.1,0.58,48.1,33.9,64.7,16.2,14.0,38.8,22.5,0.0,0.0,1.0,5250000.0,5250000.0
Corey Kluber,NYY,2021,0.6,35,4.86,16,5.0,3.83,4.16,3.9,1.34,24.0,9.7,14.4,28.2,46.9,33.7,66.7,51.7,87.1,71.8,39.9,0.52,47.3,36.2,64.5,16.7,10.2,0.0,32.1,40.2,0.0,1.0,8000000.0,8000000.0
Tyler Anderson,2TM,2021,0.5,31,5.23,31,5.39,4.53,4.69,4.34,1.25,19.1,5.4,13.7,23.3,53.6,37.0,74.4,68.5,81.8,76.7,44.5,0.57,49.0,30.7,68.8,15.2,20.9,0.0,22.4,28.9,0.0,1.0,8000000.0,8000000.0
Danny Duffy,KC,2021,0.3,32,5.07,12,5.08,2.51,2.8,3.45,1.21,25.8,8.7,17.1,29.2,48.5,37.0,67.5,59.7,80.9,70.8,37.6,0.52,47.1,36.6,57.1,14.8,24.3,31.0,39.3,37.3,0.0,1.0,3000000.0,3000000.0
Garrett Richards,BOS,2021,0.2,33,5.33,22,6.21,4.87,5.66,4.77,1.6,18.6,9.7,8.9,22.4,48.9,30.8,72.5,58.7,88.1,77.6,43.3,0.58,45.7,35.6,59.3,15.5,17.7,32.7,26.6,26.4,0.0,1.0,5500000.0,5500000.0
Rich Hill,2TM,2021,0.2,41,5.38,31,5.12,3.86,3.97,4.34,1.21,22.7,8.3,14.4,23.4,45.8,31.3,63.1,64.1,84.1,76.6,45.6,0.57,49.0,33.3,62.2,20.5,23.2,24.2,10.3,31.0,0.0,1.0,5000000.0,5000000.0
Michael Pineda,MIN,2021,0.1,32,5.39,21,5.2,3.62,4.03,4.26,1.23,19.2,4.6,14.6,22.1,51.3,37.2,71.8,63.8,88.4,77.9,40.8,0.57,48.7,30.9,69.7,17.4,14.5,0.0,37.8,17.9,0.0,1.0,5500000.0,5500000.0
Dylan Bundy,LAA,2021,0.0,28,5.49,19,4.77,6.06,6.35,5.56,1.36,21.2,8.6,12.6,23.1,44.4,31.6,61.7,61.5,87.7,76.9,42.3,0.57,47.2,34.9,57.4,20.4,16.8,23.3,36.2,27.8,0.0,1.0,5000000.0,5000000.0
Martin Perez,BOS,2021,-0.7,30,6.05,22,5.18,4.74,5.61,4.87,1.51,19.1,7.1,12.0,19.4,46.1,31.2,69.2,71.6,86.9,80.6,39.2,0.53,44.4,35.9,62.5,18.1,11.7,28.3,14.5,32.5,0.0,1.0,4000000.0,4000000.0
Zach Davies,CHC,2021,-1.2,28,6.2,32,4.63,5.78,6.02,5.37,1.6,17.1,11.2,5.8,22.5,42.9,29.8,69.1,64.8,88.4,77.5,33.4,0.5,41.8,39.9,52.2,16.9,10.0,20.6,6.8,36.9,0.0,1.0,1750000.0,1750000.0